"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice","20th Choice","21st Choice","22nd Choice","23rd Choice","24th Choice","25th Choice","26th Choice"
"Gebru, Samuel","McGovern, Marc C.","Simmons, E. Denise","Siddiqui, Sumbul","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Mallon, Alana M.","Kelley, Craig A.","McGovern, Marc C.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Toomey, Jr., Timothy J.","Burgin, Josh M.","Gebru, Samuel","Okamoto, Nadya T.","Siddiqui, Sumbul","Harding, Jr., Richard","Kelley, Craig A.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Toner, Paul F.","McGovern, Marc C.","Kelley, Craig A.","Tierney, Sean","Simmons, E. Denise","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Toner, Paul F.","Toomey, Jr., Timothy J.","Gebru, Samuel","Harding, Jr., Richard","Mallon, Alana M.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Ronald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Sivongxay, Vatsady","McGovern, Marc C.","Kelley, Craig A.","Gebru, Samuel","Carlone, Dennis J.","D'Ambrosio, Olivia","Santos, Jeff","Zondervan, Quinton Y.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Ronald","Musgrave, Adriane B.","Zondervan, Quinton Y.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Simmons, E. Denise","Siddiqui, Sumbul","Gebru, Samuel","Tierney, Sean","Devereux, Jan","Okamoto, Nadya T.","Kelley, Craig A.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Bryan","Okamoto, Nadya T.","Simmons, E. Denise","Burgin, Josh M.","Kelley, Craig A.","McGovern, Marc C.","D'Ambrosio, Olivia","Toomey, Jr., Timothy J.","Santos, Jeff","Musgrave, Adriane B.","Toner, Paul F.","Zondervan, Quinton Y.","Benjamin, Ronald","Levy, Ilan","Lenke, Dan","Moree, Gregg J.","Mallon, Alana M.","Devereux, Jan","Harding, Jr., Richard","Pillai, Hari I.","Tierney, Sean","Volmar, Gwen Thomas","Siddiqui, Sumbul","Sivongxay, Vatsady","Carlone, Dennis J.","Gebru, Samuel"
"Devereux, Jan","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Simmons, E. Denise","McGovern, Marc C.","Musgrave, Adriane B.","Toner, Paul F.","Toomey, Jr., Timothy J.","Tierney, Sean","Gebru, Samuel","Mallon, Alana M.","Burgin, Josh M.","Okamoto, Nadya T.","Santos, Jeff","Levy, Ilan","Kelley, Craig A.","Benjamin, Ronald","Harding, Jr., Richard","Lenke, Dan","Volmar, Gwen Thomas","Moree, Gregg J.","Pillai, Hari I.","Sutton, Bryan","D'Ambrosio, Olivia"
"Devereux, Jan","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Simmons, E. Denise","McGovern, Marc C.","Musgrave, Adriane B.","Toner, Paul F.","Toomey, Jr., Timothy J.","Tierney, Sean","Gebru, Samuel","Mallon, Alana M.","Burgin, Josh M.","Okamoto, Nadya T.","Santos, Jeff","Levy, Ilan","Kelley, Craig A.","Benjamin, Ronald","Harding, Jr., Richard","Lenke, Dan","Volmar, Gwen Thomas","Moree, Gregg J.","Pillai, Hari I.","Sutton, Bryan","D'Ambrosio, Olivia"
"Toomey, Jr., Timothy J.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Harding, Jr., Richard","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Simmons, E. Denise","Mallon, Alana M.","McGovern, Marc C.","Musgrave, Adriane B.","Tierney, Sean","Harding, Jr., Richard","Siddiqui, Sumbul","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Sivongxay, Vatsady","Siddiqui, Sumbul","Kelley, Craig A.","Zondervan, Quinton Y.","Okamoto, Nadya T.","Gebru, Samuel","Levy, Ilan","Burgin, Josh M.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Musgrave, Adriane B.","Simmons, E. Denise","Benjamin, Ronald","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Ronald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Ronald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","McGovern, Marc C.","Kelley, Craig A.","Simmons, E. Denise","Tierney, Sean","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D'Ambrosio, Olivia","Okamoto, Nadya T.","Simmons, E. Denise","Musgrave, Adriane B.","Siddiqui, Sumbul","Mallon, Alana M.","Zondervan, Quinton Y.","Volmar, Gwen Thomas","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Mallon, Alana M.","Siddiqui, Sumbul","Carlone, Dennis J.","Simmons, E. Denise","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Toomey, Jr., Timothy J.","Gebru, Samuel","Burgin, Josh M.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Kelley, Craig A.","McGovern, Marc C.","Siddiqui, Sumbul","Devereux, Jan","Okamoto, Nadya T.","Sivongxay, Vatsady","Volmar, Gwen Thomas","Pillai, Hari I.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Gebru, Samuel","Kelley, Craig A.","Simmons, E. Denise","Siddiqui, Sumbul","Devereux, Jan","Okamoto, Nadya T.","Mallon, Alana M.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Devereux, Jan","Carlone, Dennis J.","Benjamin, Ronald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Carlone, Dennis J.","Tierney, Sean","D'Ambrosio, Olivia","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Bryan","Devereux, Jan","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Ronald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","McGovern, Marc C.","Lenke, Dan","Musgrave, Adriane B.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Harding, Jr., Richard","Toner, Paul F.","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Toomey, Jr., Timothy J.","Carlone, Dennis J.","Devereux, Jan","Kelley, Craig A.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alana M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia"
"Simmons, E. Denise","Harding, Jr., Richard","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Toner, Paul F.","Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Burgin, Josh M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","McGovern, Marc C.","Simmons, E. Denise","Tierney, Sean","Toomey, Jr., Timothy J.","Zondervan, Quinton Y.","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Mallon, Alana M.","Moree, Gregg J.","Musgrave, Adriane B.","Carlone, Dennis J.","Benjamin, Ronald","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D'Ambrosio, Olivia","Tierney, Sean","Gebru, Samuel","Devereux, Jan","Siddiqui, Sumbul","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Harding, Jr., Richard","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burgin, Josh M.","Mallon, Alana M.","Siddiqui, Sumbul","Harding, Jr., Richard","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Harding, Jr., Richard","Carlone, Dennis J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Gebru, Samuel","Okamoto, Nadya T.","Burgin, Josh M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Harding, Jr., Richard","Toomey, Jr., Timothy J.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Gebru, Samuel","Tierney, Sean","Siddiqui, Sumbul","Musgrave, Adriane B.","McGovern, Marc C.","Simmons, E. Denise","Kelley, Craig A.","Carlone, Dennis J.","Toner, Paul F.","Devereux, Jan","Sivongxay, Vatsady","Zondervan, Quinton Y.","Harding, Jr., Richard","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","McGovern, Marc C.","Gebru, Samuel","Musgrave, Adriane B.","Carlone, Dennis J.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Burgin, Josh M.","D'Ambrosio, Olivia","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Burgin, Josh M.","Carlone, Dennis J.","Kelley, Craig A.","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Kelley, Craig A.","McGovern, Marc C.","Zondervan, Quinton Y.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Santos, Jeff","Sutton, Bryan","Toomey, Jr., Timothy J.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Burgin, Josh M.","D'Ambrosio, Olivia","Mallon, Alana M.","Musgrave, Adriane B.","Harding, Jr., Richard","Sivongxay, Vatsady","Okamoto, Nadya T.","Tierney, Sean","Siddiqui, Sumbul","Kelley, Craig A.","Simmons, E. Denise","Zondervan, Quinton Y.","Gebru, Samuel","Carlone, Dennis J.","McGovern, Marc C.","Santos, Jeff","Toner, Paul F.","Pillai, Hari I.","Benjamin, Ronald","Levy, Ilan","Sutton, Bryan","Toomey, Jr., Timothy J.","Lenke, Dan","Volmar, Gwen Thomas","Moree, Gregg J."
"Simmons, E. Denise","Tierney, Sean","Toomey, Jr., Timothy J.","Carlone, Dennis J.","D'Ambrosio, Olivia","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musgrave, Adriane B.","Devereux, Jan","Mallon, Alana M.","Tierney, Sean","Kelley, Craig A.","Sivongxay, Vatsady","Pillai, Hari I.","Okamoto, Nadya T.","Siddiqui, Sumbul","Zondervan, Quinton Y.","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Harding, Jr., Richard","Siddiqui, Sumbul","Sivongxay, Vatsady","Simmons, E. Denise","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Toner, Paul F.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Mallon, Alana M.","Musgrave, Adriane B.","Okamoto, Nadya T.","Harding, Jr., Richard","Burgin, Josh M.","Siddiqui, Sumbul","Levy, Ilan","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Kelley, Craig A.","Sivongxay, Vatsady","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Zondervan, Quinton Y.","Mallon, Alana M.","Simmons, E. Denise","McGovern, Marc C.","Gebru, Samuel","Carlone, Dennis J.","Burgin, Josh M.","Toomey, Jr., Timothy J.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","Lenke, Dan","Tierney, Sean","Levy, Ilan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Musgrave, Adriane B.","Mallon, Alana M.","Simmons, E. Denise","Gebru, Samuel","Volmar, Gwen Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Burgin, Josh M.","McGovern, Marc C.","Sivongxay, Vatsady","Sutton, Bryan","Toomey, Jr., Timothy J.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Burgin, Josh M.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Gebru, Samuel","Musgrave, Adriane B.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Burgin, Josh M.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Kelley, Craig A.","McGovern, Marc C.","Simmons, E. Denise","Harding, Jr., Richard","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Zondervan, Quinton Y.","Gebru, Samuel","McGovern, Marc C.","Siddiqui, Sumbul","Simmons, E. Denise","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burgin, Josh M.","Simmons, E. Denise","McGovern, Marc C.","Carlone, Dennis J.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Mallon, Alana M.","Tierney, Sean","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burgin, Josh M.","Simmons, E. Denise","McGovern, Marc C.","Carlone, Dennis J.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Mallon, Alana M.","Tierney, Sean","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Tierney, Sean","Mallon, Alana M.","Toomey, Jr., Timothy J.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Siddiqui, Sumbul","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Simmons, E. Denise","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","McGovern, Marc C.","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burgin, Josh M.","Gebru, Samuel","Toomey, Jr., Timothy J.","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Harding, Jr., Richard","Gebru, Samuel","Simmons, E. Denise","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tierney, Sean","Mallon, Alana M.","Gebru, Samuel","McGovern, Marc C.","Musgrave, Adriane B.","Siddiqui, Sumbul","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Siddiqui, Sumbul","Volmar, Gwen Thomas","Sivongxay, Vatsady","Harding, Jr., Richard","Kelley, Craig A.","Toomey, Jr., Timothy J.","Carlone, Dennis J.","Devereux, Jan","Gebru, Samuel","D'Ambrosio, Olivia","Burgin, Josh M.","Benjamin, Ronald","Zondervan, Quinton Y.","Toner, Paul F.","Tierney, Sean","Sutton, Bryan","Simmons, E. Denise","Santos, Jeff","Pillai, Hari I.","Okamoto, Nadya T.","Musgrave, Adriane B.","Moree, Gregg J.","Mallon, Alana M.","Levy, Ilan","Lenke, Dan"
"Gebru, Samuel","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Simmons, E. Denise","McGovern, Marc C.","Kelley, Craig A.","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Toomey, Jr., Timothy J.","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Tierney, Sean","McGovern, Marc C.","Harding, Jr., Richard","Mallon, Alana M.","Okamoto, Nadya T.","Kelley, Craig A.","Carlone, Dennis J.","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Simmons, E. Denise","Burgin, Josh M.","Moree, Gregg J.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","McGovern, Marc C.","Gebru, Samuel","Siddiqui, Sumbul","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moree, Gregg J.","Gebru, Samuel","Zondervan, Quinton Y.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Gebru, Samuel","Siddiqui, Sumbul","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Sivongxay, Vatsady","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Harding, Jr., Richard","Simmons, E. Denise","Burgin, Josh M.","McGovern, Marc C.","Devereux, Jan","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","McGovern, Marc C.","Gebru, Samuel","Mallon, Alana M.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Siddiqui, Sumbul","Harding, Jr., Richard","Gebru, Samuel","McGovern, Marc C.","Toomey, Jr., Timothy J.","Carlone, Dennis J.","Devereux, Jan","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","McGovern, Marc C.","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
